Model Family,Model Nickname,HuggingFace Path,HuggingFace Revision,Tokens,Parameters,Layers,Dimension,Context Length,Parameters Excluding Embeddings,Batch Size,Warming Up
Pythia,Pythia_6.9B_6B,EleutherAI/pythia-6.9b,step3000,6000000000,6900000000,32,4096,2048,6444163072,2000000,0
Pythia,Pythia_6.9B_20B,EleutherAI/pythia-6.9b,step10000,20000000000,6900000000,32,4096,2048,6444163072,2000000,0
Pythia,Pythia_6.9B_60B,EleutherAI/pythia-6.9b,step30000,60000000000,6900000000,32,4096,2048,6444163072,2000000,0
Pythia,Pythia_6.9B_200B,EleutherAI/pythia-6.9b,step100000,200000000000,6900000000,32,4096,2048,6444163072,2000000,0
Pythia,Pythia_6.9B_300B,EleutherAI/pythia-6.9b,step143000,300000000000,6900000000,32,4096,2048,6444163072,2000000,0
Pythia,Pythia_12B_2M,EleutherAI/pythia-12b,step1,2000000,12000000000,36,5120,2048,11327027200,2000000,1
Pythia,Pythia_12B_64M,EleutherAI/pythia-12b,step32,64000000,12000000000,36,5120,2048,11327027200,2000000,1
Pythia,Pythia_12B_512M,EleutherAI/pythia-12b,step256,512000000,12000000000,36,5120,2048,11327027200,2000000,1
Pythia,Pythia_12B_2B,EleutherAI/pythia-12b,step1000,2000000000,12000000000,36,5120,2048,11327027200,2000000,0
Pythia,Pythia_12B_6B,EleutherAI/pythia-12b,step3000,6000000000,12000000000,36,5120,2048,11327027200,2000000,0
Pythia,Pythia_12B_20B,EleutherAI/pythia-12b,step10000,20000000000,12000000000,36,5120,2048,11327027200,2000000,0
Pythia,Pythia_12B_60B,EleutherAI/pythia-12b,step30000,60000000000,12000000000,36,5120,2048,11327027200,2000000,0
Pythia,Pythia_12B_200B,EleutherAI/pythia-12b,step100000,200000000000,12000000000,36,5120,2048,11327027200,2000000,0
Pythia,Pythia_12B_300B,EleutherAI/pythia-12b,step143000,300000000000,12000000000,36,5120,2048,11327027200,2000000,0
